match_id,team_won,cluster,game_mode,game_type,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10
5283290278.0,1,156,4,0,19,96,41,54,36,95,59,114,32,49
5283290259.0,1,227,22,7,26,40,93,49,106,32,9,121,63,17
5283290258.0,1,236,22,7,95,40,2,25,76,74,49,93,26,99
5283290256.0,1,225,22,7,120,37,6,2,14,86,35,93,29,58
5283290255.0,1,153,22,7,44,6,96,84,14,19,25,20,8,15
5283290253.0,-1,153,22,7,9,6,44,30,51,10,23,8,83,84
5283290252.0,-1,183,22,0,65,4,101,21,82,7,95,14,48,114
5283290251.0,-1,188,22,7,41,11,26,36,9,113,7,69,14,1
5283290250.0,-1,123,22,7,108,128,86,22,94,18,69,119,17,26
5283290249.0,-1,188,22,7,84,2,40,44,22,104,60,32,5,30
5283290248.0,-1,227,22,0,14,128,40,41,15,89,53,104,32,75
5283290247.0,1,153,23,0,2,7,99,84,48,26,19,74,93,12
5283290246.0,1,138,22,7,129,86,58,84,1,56,128,10,126,74
5283290228.0,1,236,23,0,62,38,30,47,84,8,12,49,26,80
5283290227.0,-1,227,23,0,40,113,51,11,39,43,26,84,47,93
5283290226.0,1,184,22,7,17,26,9,128,89,31,14,106,93,42
5283290225.0,1,183,23,0,33,22,67,14,17,34,128,8,95,72
5283290224.0,-1,232,3,7,102,79,32,22,128,26,114,4,14,85
5283290223.0,1,183,22,7,17,54,50,21,60,89,28,128,47,14
5283290222.0,1,183,22,7,26,103,129,94,34,19,100,84,1,18
5283290278.0,1,156,4,0,19,96,41,54,36,95,59,114,32,49
5283290259.0,1,227,22,7,26,40,93,49,106,32,9,121,63,17
5283290258.0,1,236,22,7,95,40,2,25,76,74,49,93,26,99
5283290256.0,1,225,22,7,120,37,6,2,14,86,35,93,29,58
5283290255.0,1,153,22,7,44,6,96,84,14,19,25,20,8,15
5283290253.0,-1,153,22,7,9,6,44,30,51,10,23,8,83,84
5283290252.0,-1,183,22,0,65,4,101,21,82,7,95,14,48,114
5283290251.0,-1,188,22,7,41,11,26,36,9,113,7,69,14,1
5283290250.0,-1,123,22,7,108,128,86,22,94,18,69,119,17,26
5283290249.0,-1,188,22,7,84,2,40,44,22,104,60,32,5,30
5283290248.0,-1,227,22,0,14,128,40,41,15,89,53,104,32,75
5283290247.0,1,153,23,0,2,7,99,84,48,26,19,74,93,12
5283290246.0,1,138,22,7,129,86,58,84,1,56,128,10,126,74
5283290228.0,1,236,23,0,62,38,30,47,84,8,12,49,26,80
5283290227.0,-1,227,23,0,40,113,51,11,39,43,26,84,47,93
5283290226.0,1,184,22,7,17,26,9,128,89,31,14,106,93,42
5283290225.0,1,183,23,0,33,22,67,14,17,34,128,8,95,72
5283290224.0,-1,232,3,7,102,79,32,22,128,26,114,4,14,85
5283290223.0,1,183,22,7,17,54,50,21,60,89,28,128,47,14
5283290222.0,1,183,22,7,26,103,129,94,34,19,100,84,1,18
5283290221.0,1,188,22,7,62,126,64,44,81,35,5,14,104,54
5283290219.0,-1,231,22,7,74,10,108,26,7,5,107,67,106,4
5283290218.0,-1,193,22,7,69,14,113,42,50,2,9,114,26,68
5283290217.0,-1,133,22,7,95,2,87,74,34,44,64,93,113,7
5283290216.0,-1,151,22,7,44,68,112,2,104,105,1,94,26,108
5283290215.0,1,154,23,0,93,22,59,9,46,101,95,34,14,8
5283290181.0,-1,155,22,0,56,21,25,23,7,6,40,28,129,26
5283290180.0,-1,227,22,0,12,99,76,26,22,84,101,67,70,126
5283290179.0,1,193,22,7,2,1,9,50,36,114,6,101,42,121
5283290178.0,1,236,3,7,58,128,76,6,31,93,7,97,105,88
5283290177.0,-1,227,3,7,93,2,26,83,6,7,21,67,25,62
5283290176.0,1,135,22,0,23,104,18,90,14,129,61,112,93,30
5283290175.0,1,133,22,7,84,2,26,72,50,64,83,23,68,89
5283290174.0,1,187,22,0,22,7,53,41,68,45,114,94,102,14
5283290173.0,-1,152,4,0,11,80,9,34,47,29,53,41,75,98
5283290172.0,1,236,3,7,93,105,84,94,57,51,40,13,37,44
